TT,Học kỳ,Tên học phần,Ký hiệu,Mã HP,Số tín chỉ,Tự chọn,HT ĐA,TQ ĐA,Quan hệ về trình tự học với các học phần khác:,,
,,,,,,,,,Học phần cần học trước:,Học song hành với học phần:,Cần học phần tiên quyết:
1,1,Giải tích 1,,3190111,4,,X,,,,
2,1,Đại số tuyến tính,,3190260,3,,X,,,,
3,1,Cấu trúc máy tính và vi xử lý,,1022970,2,,X,,,,
4,1,Nhập môn ngành (Nhật),,1023600,2,,X,,,,
5,1,Kỹ thuật lập trình,,1022863,3,,X,,,3190260- Đại số tuyến tính,
6,1,TH kỹ thuật lập trình (1TC),,1023060,0,,X,,,,
7,1,Triết học Mác - Lênin,,2090150,3,,X,,,,
8,1,Giáo dục thể chất 1,,130011,0,,X,,,,
9,1,Tiếng Nhật 1 (CNTT),,5070030,1,,X,,,,
10,2,Giải tích 2,,3190121,4,,X,,3190111- Giải tích 1,,
11,2,Toán rời rạc,,1021263,3,,X,,1022863- Kỹ thuật lập trình,,
12,2,Vật lý 1,,3050011,3,,X,,3190111- Giải tích 1,,
13,2,Cấu trúc dữ liệu,,1023280,2,,X,,1022863- Kỹ thuật lập trình,,
14,2,Phương pháp tính,,1020072,3,,X,,1022863- Kỹ thuật lập trình,,
15,2,PBL1: Dự án lập trình tính toán,,1022933,2,,X,,,1020072- Phương pháp tính,
,,,,,,,X,,,1021263- Toán rời rạc,
16,2,Tiếng Nhật 2 (CNTT),,5070040,1,,X,,,,
17,3,Tiếng Nhật 3 (CNTT),,5070050,1,,X,,,,
18,3,Kinh tế chính trị Mác - Lênin,,2170020,2,,X,,2090150- Triết học Mác - Lênin,,
19,3,TN Vật lý (Điện-Từ-Quang),,3050670,1,,X,,3050011- Vật lý 1,,
20,3,Xác suất thống kê,,3190041,3,,X,,3190121- Giải tích 2,,
21,3,Lập trình hướng đối tượng,,1023720,3,,X,,1023280- Cấu trúc dữ liệu,,
22,3,Cơ sở dữ liệu,,1020102,2,,X,,1022863- Kỹ thuật lập trình,,
23,3,Lý thuyết thông tin,,1022553,2,,X,,,3190041- Xác suất thống kê,
24,3,Nguyên lý hệ điều hành,,1022913,2.5,,X,,1022970- Cấu trúc máy tính và vi xử lý,,
,,,,,,,X,,1023280- Cấu trúc dữ liệu,,
25,3,PBL 2: Dự án cơ sở lập trình,,1023690,2,,X,,1023280- Cấu trúc dữ liệu,1023720- Lập trình hướng đối tượng,
26,3,TH Lập trình hướng đối tượng,,1023730,0,,X,,,1023720- Lập trình hướng đối tượng,
27,4,Tiếng Nhật 4 (CNTT),,5070060,1,,X,,,,
28,4,Chủ nghĩa Xã hội khoa học,,2090160,2,,X,,2090150- Triết học Mác - Lênin,,
29,4,Phân tích & thiết kế giải thuật,,1022830,2,,X,,1023280- Cấu trúc dữ liệu,,
30,4,Mạng máy tính,,1020292,2,,X,,1022913- Nguyên lý hệ điều hành,,
31,4,Lập trình .NET,,1023703,2.5,,X,,1020102- Cơ sở dữ liệu,,
,,,,,,,X,,1023720- Lập trình hướng đối tượng,,
32,4,Lập trình Java,,1023713,2.5,,X,,1020102- Cơ sở dữ liệu,,
,,,,,,,X,,1023720- Lập trình hướng đối tượng,,
33,4,Toán ứng dụng Công nghệ thông tin,,1023220,3,,X,,1022863- Kỹ thuật lập trình,,
34,4,PBL 3: Đồ án lập trình ứng dụng,,1023740,3,,X,,,1022830- Phân tích & thiết kế giải thuật,
,,,,,,,X,,,1023703- Lập trình .NET,
,,,,,,,X,,,1023713- Lập trình Java,
35,5,Tiếng Nhật 5 (CNTT),,5070070,1,,X,,,,
36,5,Pháp luật đại cương,,2100010,2,,X,,,,
37,5,Lịch sử Đảng Cộng sản Việt Nam,,2090170,2,,X,,2090150- Triết học Mác - Lênin,,
38,5,Vi điều khiển,,1021383,2,,X,,1022863- Kỹ thuật lập trình,,
,,,,,,,X,,1022970- Cấu trúc máy tính và vi xử lý,,
39,5,Trí tuệ nhân tạo,,1020313,2,,X,,1022830- Phân tích & thiết kế giải thuật,,
40,5,PBL 4: Dự án Hệ thống thông minh,,1023870,3,,X,,1020292- Mạng máy tính,1020313- Trí tuệ nhân tạo,
,,,,,,,X,,,1021383- Vi điều khiển,
41,5,Lập trình di động,,1023583,2,Chọn 2 trong 11,X,,1023713- Lập trình Java,,
42,5,Chương trình dịch,,1020113,2,Chọn 2 trong 11,X,,1023280- Cấu trúc dữ liệu,,
43,5,Đồ họa máy tính,,1022843,2,Chọn 2 trong 11,X,,1022863- Kỹ thuật lập trình,,
44,5,Lập trình trên Linux,,1022833,2,Chọn 2 trong 11,X,,1022913- Nguyên lý hệ điều hành,,
45,5,Công nghệ Web,,1021523,2,Chọn 2 trong 11,X,,1020292- Mạng máy tính,,
